Date,Title,Details,Status
2025-04-21,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-04-23,Operational Manager Reimbursement,Reimbursement Bank,open
2025-04-28,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-04-30,Marketing & Sales Manager Reimbursement,Reimbursement Mind,open
2025-05-01,Salaries,Make Payments to Staff,open
2025-05-04,Monthly Reimbursements,"Online Marketing (Google/Meta/Tiktok) -> David, Graphic Design -> Zac, VR -> Khan",open
2025-05-05,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-05-07,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-05-12,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-05-12,Prepare & Pay Taxes (VAT/WHT) + SSO,"1. Upload Transactions with VAT/WHT to FlowAccount 2. Prepare WHT PND 3 / 53 within FlowAccount 3. Prepare VAT PP36 and PP30 within FlowAccount+RD Prep 4. Submit VAT & WHT and make Payment in E-Filling 5. Submit and Pay SSO",open
2025-05-19,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-05-21,Prepare Staff Schedule,Prepare Staff Schedule and share via LINE to staff,open
2025-05-23,Operational Manager Reimbursement,Reimbursement Bank,open
2025-05-26,Check Inventory and Re-Order,Check current inventory and make necessary re-orders (https://docs.google.com/spreadsheets/d/1e0D6-6CcSrrVr4SnV4-DaOw0gtODJaSYLmvU8j83N1o/edit?gid=1531946274#gid=1531946274),open
2025-05-30,Marketing & Sales Manager Reimbursement,Reimbursement Mind,open
